predictor,importance,importance_rank
elevation,0.17421168815307472,1
dist_to_roads,0.1664783846594007,2
dist_to_buildings,0.15237184692598166,3
dist_to_water,0.145915589213433,4
dist_to_trails,0.13734293722122526,5
ndvi,0.09221031678479216,6
landcover_barr__och_blandskog,0.055783384781844136,7
landcover_öppen_mark,0.042893576830575326,8
on_roads,0.017655632947391954,9
rocky_terrain,0.00859438603473399,10
on_trails,0.005899921314245143,11
on_water,0.0006067332273274987,12
firm_wetlands,3.560190597448982e-05,13
on_buildings,0.0,14
